Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score
2193,91,27,361.45,3,4,4,344,11
1793,26,25,345.1,4,4,4,444,12
3289,4,29,334.15,4,4,4,444,12
2433,3,30,316.81,4,4,4,444,12
2743,142,17,312.46,2,4,4,244,10
2811,310,20,305.72,1,4,4,144,9
2990,140,24,303.61,3,4,4,344,11
3872,37,30,301.33,4,4,4,444,12
4753,52,23,301.1,4,4,4,444,12
2993,239,15,296.96,2,4,4,244,10
4509,31,20,290.74,4,4,4,444,12
4102,57,19,289.4,4,4,4,444,12
4437,31,23,285.6,4,4,4,444,12
1715,179,17,284.89,2,4,4,244,10
1169,380,21,284.8,1,4,4,144,9
1265,88,25,279.99,3,4,4,344,11
2051,46,32,279.4,4,4,4,444,12
4494,58,21,277.9,3,4,4,344,11
2851,105,29,277.4,3,4,4,344,11
4679,50,22,277.18,4,4,4,444,12
2210,96,18,271.95,3,4,4,344,11
3245,22,18,271.8,4,4,4,444,12
3593,57,23,268.8,4,4,4,444,12
1098,48,24,267.62,4,4,4,444,12
1052,64,26,267.5,3,4,4,344,11
4293,91,22,265.7,3,4,4,344,11
2001,112,19,264.32,3,4,4,344,11
2736,4,21,262.2,4,4,4,444,12
4624,33,22,260.94,4,4,4,444,12
2706,88,23,260.9,3,4,4,344,11
2022,161,23,260.7,2,4,4,244,10
4628,20,19,260.6,4,4,4,444,12
1870,112,25,257.54,3,4,4,344,11
2517,18,27,256.25,4,4,4,444,12
3014,49,17,256.0,4,4,4,444,12
2632,98,24,254.8,3,4,4,344,11
4302,55,20,254.7,4,4,4,444,12
4137,4,26,254.04,4,4,4,444,12
3657,92,20,253.55,3,4,4,344,11
1905,73,26,253.51,3,4,4,344,11
4078,46,16,253.12,4,4,4,444,12
2918,19,21,252.6,4,4,4,444,12
3180,72,36,251.45,3,4,4,344,11
3251,4,21,248.12,4,4,4,444,12
3957,229,24,248.11,2,4,4,244,10
1654,51,23,247.84,4,4,4,444,12
4303,5,25,245.36,4,4,4,444,12
3761,95,21,245.1,3,4,4,344,11
1407,154,22,245.05,2,4,4,244,10
1866,52,18,244.5,4,4,4,444,12
3543,80,22,244.34,3,4,4,344,11
4683,98,20,244.05,3,4,4,344,11
3120,7,24,243.5,4,4,4,444,12
4831,47,26,242.65,4,4,4,444,12
4836,47,19,242.0,4,4,4,444,12
2184,23,24,241.86,4,4,4,444,12
2443,45,21,241.7,4,4,4,444,12
4280,24,15,241.6,4,4,4,444,12
3361,161,22,240.5,2,4,4,244,10
4272,207,26,240.4,2,4,4,244,10
2271,40,30,240.2,4,4,4,444,12
2625,42,30,239.96,4,4,4,444,12
3768,84,16,239.91,3,4,4,344,11
4338,80,28,239.75,3,4,4,344,11
2960,11,25,239.24,4,4,4,444,12
4234,150,20,237.4,2,4,4,244,10
2772,26,16,237.2,4,4,4,444,12
2794,92,18,236.4,3,4,4,344,11
2729,97,18,236.3,3,4,4,344,11
4328,123,12,236.0,3,3,4,334,10
1353,324,21,235.4,1,4,4,144,9
4434,100,15,235.11,3,4,4,344,11
1565,16,19,234.79,4,4,4,444,12
1889,124,17,234.75,3,4,4,344,11
3048,20,19,234.0,4,4,4,444,12
3918,191,13,232.92,2,3,4,234,9
1787,60,13,232.7,3,3,4,334,10
4389,13,17,231.44,4,4,4,444,12
2344,13,25,230.0,4,4,4,444,12
3737,18,33,229.58,4,4,4,444,12
2870,66,13,228.6,3,3,4,334,10
3635,17,21,228.33,4,4,4,444,12
1761,89,18,228.22,3,4,4,344,11
3691,128,23,227.36,3,4,4,344,11
1862,116,15,225.65,3,4,4,344,11
4695,78,26,225.41,3,4,4,344,11
1065,47,14,225.4,4,4,4,444,12
1366,31,25,224.1,4,4,4,444,12
2524,25,27,223.95,4,4,4,444,12
2070,11,24,223.85,4,4,4,444,12
3531,123,17,223.5,3,4,4,344,11
3465,59,22,223.34,3,4,4,344,11
2440,194,25,223.29,2,4,4,244,10
2270,91,22,222.4,3,4,4,344,11
3752,131,27,222.36,3,4,4,344,11
1175,183,19,222.36,2,4,4,244,10
2138,301,18,221.86,1,4,4,144,9
3050,15,32,221.55,4,4,4,444,12
3535,120,15,221.5,3,4,4,344,11
3822,96,19,221.47,3,4,4,344,11
4875,65,28,221.4,3,4,4,344,11
3246,125,22,221.4,3,4,4,344,11
2394,38,29,221.0,4,4,4,444,12
3221,184,22,220.9,2,4,4,244,10
1651,13,16,220.35,4,4,4,444,12
1259,33,14,220.04,4,4,4,444,12
2738,51,21,220.0,4,4,4,444,12
1949,161,15,219.8,2,4,4,244,10
1090,70,12,219.2,3,3,4,334,10
1677,21,11,219.0,4,3,4,434,11
2779,3,21,218.15,4,4,4,444,12
3495,42,22,217.85,4,4,4,444,12
1379,170,28,217.85,2,4,4,244,10
4417,226,15,217.2,2,4,4,244,10
1522,371,19,216.19,1,4,4,144,9
2855,52,23,215.0,4,4,4,444,12
3776,165,17,214.9,2,4,4,244,10
1038,16,19,214.2,4,4,4,444,12
3830,73,23,214.05,3,4,4,344,11
3651,75,21,213.56,3,4,4,344,11
4636,264,17,213.55,2,4,4,244,10
4243,130,16,213.34,3,4,4,344,11
2758,41,20,212.9,4,4,4,444,12
3201,33,17,212.4,4,4,4,444,12
4235,11,19,211.84,4,4,4,444,12
